"","Taxon2","Taxon1","Realm","Plots","Datasets","modelName"
"3","Acari","Araneae","Freshwater",20,2,"Aran_Acar_F"
"6","Acari","Auchenorrhyncha","Terrestrial",56,2,"Auch_Acar_T"
"11","Acari","Carabidae","Freshwater",45,2,"Cara_Acar_F"
"14","Acari","Chironomidae","Terrestrial",35,2,"Chir_Acar_T"
"16","Acari","Chrysomelidae","Terrestrial",30,2,"Chry_Acar_T"
"18","Acari","Coccinellidae","Terrestrial",40,2,"Cocc_Acar_T"
"21","Acari","Collembola","Freshwater",47,3,"Coll_Acar_F"
"24","Acari","Culicidae","Terrestrial",30,2,"Culi_Acar_T"
"26","Acari","Curculionoidea","Terrestrial",32,2,"Curc_Acar_T"
"32","Acari","Formicidae","Terrestrial",100,4,"Form_Acar_T"
"35","Acari","Heteroptera","Freshwater",24,3,"Hete_Acar_F"
"36","Acari","Heteroptera","Terrestrial",40,3,"Hete_Acar_T"
"40","Acari","Neuroptera","Terrestrial",25,2,"Neur_Acar_T"
"44","Acari","Orthoptera","Terrestrial",74,4,"Orth_Acar_T"
"46","Acari","Parasitoid wasps","Terrestrial",67,3,"Para_Acar_T"
"47","Acari","Plecoptera","Freshwater",383,3,"Plec_Acar_F"
"49","Acari","Simuliidae","Freshwater",498,4,"Simu_Acar_F"
"52","Acari","Staphylinidae","Terrestrial",33,2,"Stap_Acar_T"
"62","Araneae","Auchenorrhyncha","Terrestrial",66,2,"Auch_Aran_T"
"68","Araneae","Carabidae","Terrestrial",26,4,"Cara_Aran_T"
"69","Araneae","Chironomidae","Freshwater",21,3,"Chir_Aran_F"
"70","Araneae","Chironomidae","Terrestrial",42,3,"Chir_Aran_T"
"72","Araneae","Chrysomelidae","Terrestrial",37,3,"Chry_Aran_T"
"74","Araneae","Coccinellidae","Terrestrial",49,3,"Cocc_Aran_T"
"80","Araneae","Culicidae","Terrestrial",34,2,"Culi_Aran_T"
"82","Araneae","Curculionoidea","Terrestrial",47,4,"Curc_Aran_T"
"88","Araneae","Formicidae","Terrestrial",111,4,"Form_Aran_T"
"92","Araneae","Heteroptera","Terrestrial",50,4,"Hete_Aran_T"
"102","Araneae","Parasitoid wasps","Terrestrial",73,3,"Para_Aran_T"
"126","Auchenorrhyncha","Chironomidae","Terrestrial",32,1,"Chir_Auch_T"
