"","Taxon2","Taxon1","Realm","Plots","Datasets","modelName"
"4","Araneae","Blattodea","Terrestrial",76,4,"Blat_Aran_T"
"9","Araneae","Diptera","Freshwater",21,3,"Dipt_Aran_F"
"22","Araneae","Lepidoptera","Terrestrial",88,4,"Lepi_Aran_T"
"28","Araneae","Neuroptera","Terrestrial",26,2,"Neur_Aran_T"
"32","Araneae","Opiliones","Terrestrial",31,4,"Opil_Aran_T"
"34","Araneae","Orthoptera","Terrestrial",83,4,"Orth_Aran_T"
"42","Araneae","Psocoptera","Terrestrial",67,3,"Psoc_Aran_T"
"44","Araneae","Sarcoptiformes","Terrestrial",52,1,"Sarc_Aran_T"
"49","Araneae","Trombidiformes","Freshwater",20,2,"Trom_Aran_F"
"50","Araneae","Trombidiformes","Terrestrial",25,1,"Trom_Aran_T"
"58","Blattodea","Coleoptera","Terrestrial",76,4,"Cole_Blat_T"
"62","Blattodea","Diptera","Terrestrial",71,4,"Dipt_Blat_T"
"70","Blattodea","Hemiptera","Terrestrial",76,4,"Hemi_Blat_T"
"72","Blattodea","Hymenoptera","Terrestrial",75,4,"Hyme_Blat_T"
"74","Blattodea","Lepidoptera","Terrestrial",70,3,"Lepi_Blat_T"
"80","Blattodea","Neuroptera","Terrestrial",25,2,"Neur_Blat_T"
"84","Blattodea","Opiliones","Terrestrial",24,3,"Opil_Blat_T"
"86","Blattodea","Orthoptera","Terrestrial",69,4,"Orth_Blat_T"
"94","Blattodea","Psocoptera","Terrestrial",57,2,"Psoc_Blat_T"
"96","Blattodea","Sarcoptiformes","Terrestrial",45,1,"Sarc_Blat_T"
"98","Blattodea","Thysanoptera","Terrestrial",29,3,"Thys_Blat_T"
"102","Blattodea","Trombidiformes","Terrestrial",21,1,"Trom_Blat_T"
"132","Coleoptera","Neuroptera","Terrestrial",28,4,"Neur_Cole_T"
"136","Coleoptera","Opiliones","Terrestrial",31,4,"Opil_Cole_T"
"138","Coleoptera","Orthoptera","Terrestrial",83,4,"Orth_Cole_T"
"146","Coleoptera","Psocoptera","Terrestrial",67,3,"Psoc_Cole_T"
"148","Coleoptera","Sarcoptiformes","Terrestrial",52,1,"Sarc_Cole_T"
"154","Coleoptera","Trombidiformes","Terrestrial",25,1,"Trom_Cole_T"
"236","Diptera","Neuroptera","Terrestrial",27,3,"Neur_Dipt_T"
